,Country,Order ID,Total Cost,Total Profit
124,Tuvalu,917450082,716784.26,473274.14
125,Barbados,674934184,625416.54,434208.14
126,Mali,576957166,386580.11,292435.59
127,Central African Republic,311067855,374894.84,123634.58
128,Sri Lanka,985127580,909027.21,631110.61
129,Bosnia and Herzegovina,177310168,806912.82,560215.62
130,Netherlands,486101949,3630348.96,1197233.52
131,Laos,980301749,1011597.92,243283.75
132,Honduras,349020898,994799.2,239243.75
133,Zambia,951683223,1542295.26,508625.37
134,Botswana,268025052,333634.56,188799.36
135,Bhutan,348095214,4002228.56,1319873.72
136,Zimbabwe,162255036,1872464.04,617509.98
137,Lesotho,551178348,270655.92,119686.56
138,Togo,175851476,3625323.56,1195576.22
139,Australia,467573249,1520757.3,238524.0
140,Luxembourg,677954995,5563.68,1937.64
141,Estonia,128920543,64411.36,22432.28
142,United Kingdom,462706220,1425208.52,223537.6
143,Morocco,691860854,532486.08,369689.28
144,United Kingdom,349245774,4430662.4,1065550.0
145,Papua New Guinea,838034808,62880.62,30975.48
146,New Zealand,481714284,499602.72,220928.96
147,Austria,374083030,2195118.88,1449380.32
148,Saint Kitts and Nevis ,329252374,177222.57,123040.37
149,Myanmar,231646144,788971.68,446468.58
150,Guatemala,486000669,1156273.26,695272.58
151,Antigua and Barbuda ,667364776,629417.46,436985.86
152,Iran,871099793,603866.13,419246.33
153,Singapore,362879550,784196.74,517784.86
154,Sudan,728690373,722013.18,434149.94
155,Macedonia,924831092,811220.97,613662.93
156,Canada,427913033,4110961.76,988663.75
157,Malta,584860026,226490.74,171333.06
158,Iraq,562908399,580644.96,328579.26
159,Austria,499606978,207525.54,91769.72
160,Thailand,152817094,97084.19,73441.11
161,Netherlands,250712573,8805.83,4337.82
162,Zimbabwe,241779744,245647.36,503357.76
163,Belize,544817435,285865.51,216248.19
164,Georgia,298936975,86292.57,59910.37
165,Dominica,513562190,105511.01,51975.54
166,Slovakia,918429410,80333.33,39572.82
167,Benin,413587462,835645.44,472880.64
168,Jamaica,219397675,1277509.07,200371.6
169,Syria,726533877,1678465.42,1108247.38
170,Bulgaria,145982396,469794.3,207747.4
171,Tonga,359042060,234578.41,115555.14
172,Finland,167324197,136299.52,279292.32
173,Namibia,242752635,151129.66,74447.64
174,Kenya,877563703,1507475.52,906452.16
175,Kiribati,634306228,2092074.02,689933.99
176,Australia,395841538,49567.96,17262.83
177,Eritrea,215343463,1979624.16,476088.75
178,Bulgaria,666298329,9252.04,3222.17
179,Australia,592504966,29347.72,10220.81
180,The Gambia,258074700,4668994.24,1122867.5
181,Latvia,897431361,277781.02,136837.08
182,Bulgaria,665311276,331376.64,679026.24
183,France,486763274,92985.75,45805.5
184,United Arab Emirates,907148683,29818.28,10384.69
185,Kuwait,742141330,281423.22,124447.96
186,Iran,227727544,481468.32,212909.76
187,Jamaica,570206153,175703.33,86552.82
188,Rwanda,796188485,1021316.31,772593.39
189,United States of America,902598369,3904735.8,1287722.1
190,Cyprus,506672132,139812.42,68872.68
191,Afghanistan,195958602,669244.8,464636.8
192,Uganda,178319108,871532.62,659286.78
193,Senegal,731927478,223778.73,155362.93
194,Afghanistan,855270040,596705.78,393989.42
195,Estonia,517145621,211719.12,93624.16
196,Senegal,206665551,2109366.96,330844.8
197,Vatican City,483253657,138318.29,68136.66
198,Laos,626646268,673882.23,467856.43
199,Dominican Republic,886892211,357288.96,732123.36
200,Nepal,234352815,513486.87,227068.66
201,Palau,409701907,3192496.26,500728.8
202,Serbia,973925817,501523.68,283805.58
203,Cyprus,658323371,160440.7,121368.3
204,Indonesia,514505898,942358.96,147804.8
205,Dominica,764397227,89202.33,61930.53
206,Malawi,350233685,28134.4,57650.4
207,East Timor,984564101,316874.88,179315.28
208,Mongolia,400249803,874583.36,210332.5
209,Kenya,900464618,227440.64,466050.24
210,Moldova ,808694875,876474.27,608510.07
211,Mozambique,318739402,108560.97,82122.93
212,Saint Kitts and Nevis ,144709527,814114.8,268482.6
213,Papua New Guinea,171029078,15590.4,8822.4
214,Guinea,802434384,684126.24,387137.94
215,Lithuania,713974273,67179.36,23396.28
216,Tajikistan,901010072,2829265.02,443757.6
217,Antigua and Barbuda ,629215610,753795.84,426563.04
218,Saudi Arabia,584577214,4327245.28,1040678.75
219,Myanmar,623393714,1789898.52,280737.6
220,Australia,222276437,859592.64,516877.12
221,Kiribati,728149211,699375.54,420537.82
222,Pakistan,408248364,783634.74,544054.34
223,Albania,300122725,58461.81,28798.74
224,Norway,161633622,5163506.56,1241795.0
225,Vatican City,720954883,1978807.94,310367.2
226,Algeria,526572835,336947.52,190674.12
227,Hungary,897286307,566418.72,320528.82
228,Tajikistan,972206628,1020447.42,613599.86
229,Djibouti,860757625,3097656.56,1021559.72
230,Macedonia,292675626,945780.36,715452.84
231,Lesotho,868009459,781530.67,122579.6
232,Denmark,207120454,12716.0,6264.0
233,Nauru,500682437,108466.38,47964.84
234,Moldova ,859681737,707890.05,491467.05
235,Australia,465417182,719289.62,544119.78
236,Slovenia,819500100,2606074.74,408751.2
237,Guatemala,793854320,452736.63,200204.34
238,Dominican Republic,680716168,282992.64,579882.24
239,Israel,842634475,111856.64,229206.24
240,Brunei,362470567,61990.5,30537.0
241,Myanmar,193398272,945265.44,534913.14
242,Croatia,908903920,1870956.42,617012.79
243,Tonga,452786338,300840.96,616455.36
244,Belarus,889156854,11548.11,8017.51
245,Mali,752439296,861762.47,135163.6
246,Bangladesh,897369992,151941.41,100322.99
247,Djibouti,448997771,3818034.08,918216.25
248,Eritrea,852683961,1113867.54,669773.82
249,Iran,924102389,125405.28,70965.18
250,Kyrgyzstan,899239385,1375610.68,215758.4
251,Mauritius ,184393775,494118.24,279614.94
252,Ghana,506176888,2065823.85,1364010.15
253,Dominican Republic,961512553,470307.38,310531.82
254,Togo,267637097,1374040.98,826217.34
255,Angola,812099349,49125.08,17108.59
256,Ghana,102760636,1277113.62,767934.46
257,Romania,217794787,3344936.68,524638.4
258,Zimbabwe,155688130,15482.88,31726.08
259,Benin,785239493,275651.09,135787.86
260,Algeria,795560204,100280.32,205485.12
261,Lebanon,746074092,60605.36,21106.78
262,Vatican City,816517484,529688.53,400692.57
263,Somalia,356939208,812723.16,488694.28
264,Estonia,137700593,3779100.8,1246289.6
265,Libya,999475467,331859.52,146751.36
266,Uzbekistan,703250157,726550.44,549612.36
267,Lesotho,680323493,165160.8,93462.3
268,Democratic Republic of the Congo,182306802,729728.16,412943.46
269,Tanzania,331123912,327495.93,144821.74
270,Vietnam,969011151,92282.68,69808.92
271,Comoros,208517348,1375610.68,215758.4
272,Comoros,282503831,4028360.64,1328491.68
273,Trinidad and Tobago,794144427,1929251.06,636237.47
274,Palau,966925466,24822.04,8644.67
275,Macedonia,994645774,45969.56,16009.63
276,Comoros,691416680,30551.8,10640.15
277,Zambia,841662013,852578.16,512659.28
278,Vanuatu,950118100,966020.16,546657.96
279,Cyprus,591833770,510935.67,354727.47
280,Thailand,762170350,194782.56,110224.86
281,Kyrgyzstan,726801669,2824274.8,931402.6
282,Saint Vincent and the Grenadines,271714055,810172.44,487160.52
283,Mauritius ,153206336,958751.88,576502.04
284,Hungary,747889840,3054438.12,1007306.94
285,Switzerland,702688395,1167118.26,882887.94
286,Denmark,984838330,701766.84,421975.72
287,Cyprus,831888473,1648374.4,396425.0
288,Rwanda,901700150,62530.93,30803.22
289,Benin,122447192,336441.0,233581.0
290,Norway,642615926,373346.68,282424.92
291,Saudi Arabia,181005179,82790.4,169646.4
292,Nauru,576726281,485056.32,274486.92
293,Kiribati,139203059,1071917.82,353502.09
294,Lithuania,398171842,3544004.96,852313.75
295,Palau,253681457,803366.55,557753.55
296,Sri Lanka,926093232,23914.74,10575.32
297,Djibouti,106080996,4006.68,1395.39
298,Guatemala,504631078,106648.65,70417.35
299,Zimbabwe,403042304,4214903.84,1013661.25
300,Comoros,402926003,1317624.97,206663.6
301,Netherlands,276206004,2283051.04,549061.25
302,Portugal,315118634,339082.24,694815.84
303,Spain,882212722,829621.68,498855.44
304,Egypt,160349595,353489.92,724338.72
305,Slovenia,902703082,796274.01,552829.41
306,Ireland,982759511,2431325.89,1605341.71
307,Taiwan,144317710,2068521.68,324438.4
308,Swaziland,451489007,1635634.65,256542.0
309,Armenia,438697230,63068.88,21964.74
310,The Gambia,960678708,180382.72,369623.52
311,Iran,242482268,555921.17,420536.73
312,Andorra,629469239,444941.22,267545.26
313,Morocco,937313449,66742.62,46337.42
314,Bhutan,502001225,77880.32,159585.12
315,Mongolia,529831397,246022.81,121192.74
316,Eritrea,947415292,48821.28,11741.25
317,Central African Republic,851676738,319979.52,655672.32
318,Greenland,759852063,41284.72,14378.06
319,Somalia,359490096,905935.59,628964.19
320,Cameroon,758452165,199672.55,151045.95
321,Uzbekistan,434912097,286396.11,141080.94
322,Ethiopia,187356221,97699.08,43203.44
323,Kyrgyzstan,884583365,3532980.8,849662.5
324,United Kingdom,315704858,773663.54,510830.06
325,Marshall Islands,840144526,612897.6,346830.6
326,North Korea,837638700,758839.2,456293.6
327,Nauru,558236205,1222805.57,191791.6
328,Saint Lucia,772298371,289447.95,142584.3
329,Ukraine,520499026,592727.52,335416.62
330,Sao Tome and Principe,263824498,21931.29,9698.22
331,Bulgaria,533573615,184396.8,377848.8
332,Romania,581357705,2897254.24,696773.75
333,Yemen,629100596,433424.11,327871.59
334,United States of America,519038617,1967946.64,648998.68
335,Antigua and Barbuda ,163720595,674427.81,468235.21
336,Latvia,896007859,877388.12,663716.28
337,El Salvador,519074237,434290.08,245758.98
338,The Bahamas,956406056,346473.6,83325.0
339,Maldives,601802146,310721.61,137403.98
340,Nigeria,169373834,53565.12,32208.96
341,Zimbabwe,443544948,332894.73,231118.93
342,Armenia,929051816,945838.86,568737.38
343,Belarus,300943267,263798.85,116654.3
344,Kuwait,454580628,4916250.4,1182331.25
345,Panama,655637729,237547.52,486760.32
346,Turkmenistan,690100896,180848.64,370578.24
347,Guatemala,414268958,8816.64,18066.24
348,Sudan,204753243,3606784.1,565708.0
349,Afghanistan,508477580,788363.1,547337.1
350,Sweden,492678296,322623.84,182568.54
351,Moldova ,294904220,886171.37,670360.53
352,Belgium,573016679,409384.08,181033.44
353,South Africa,255189502,35285.08,12288.59
354,Mauritania,589909017,2203456.98,345602.4
355,Azerbaijan,195974051,61418.28,30255.12
356,Sao Tome and Principe,912495934,650899.2,368335.2
357,Libya,148898494,44011.52,90184.32
358,Portugal,334918057,271836.29,133908.66
359,Lebanon,370603454,4541953.92,1092315.0
360,Marshall Islands,576316010,1301578.61,204146.8
361,Barbados,442729556,623828.77,411898.03
362,Sao Tome and Principe,880830419,42558.0,14821.5
363,Samoa ,171917426,96705.18,47637.72
364,Tonga,717601907,1611143.24,531330.38
365,France,489807689,1398586.15,219362.0
366,Liechtenstein,680771100,404570.88,228941.28
367,South Africa,753040969,150252.28,23566.4
368,Kosovo,689478623,32291.84,66169.44
369,Palau,543257892,109732.07,83008.83
370,Sweden,887865102,250155.51,123228.54
371,Bosnia and Herzegovina,567099082,3189132.0,766968.75
372,Antigua and Barbuda ,745071160,191761.92,108515.52
373,Mauritius ,856205165,2367336.7,1563091.3
374,Costa Rica,855237424,148135.38,65506.84
375,Burundi,767216765,169917.55,83702.7
376,Sudan,237504518,201312.09,152286.21
377,Croatia,781774508,526883.1,316817.3
378,Cambodia,836013066,433189.89,327694.41
379,Liechtenstein,706519019,24448.36,8514.53
380,Lesotho,319903695,173795.93,85613.22
381,Sierra Leone,573090922,4620352.76,1523721.62
382,Somalia,183317029,230702.08,472733.28
383,Sudan,638130843,337299.84,149157.12
384,Botswana,345393693,4474759.04,1076155.0
385,South Africa,483279407,1034696.16,248838.75
386,Saint Kitts and Nevis ,950274312,3086098.14,1017747.93
387,United Kingdom,815177237,2083993.62,1376007.18
388,Marshall Islands,567099511,604322.88,341978.28
389,Eritrea,765464961,393686.49,174091.82
390,Panama,690009915,951167.42,719527.98
391,Democratic Republic of the Congo,590783202,1246340.89,822926.71
392,Brunei,338146150,346897.95,240840.95
393,Sudan,772772586,65297.12,22740.76
394,Jamaica,555648839,53242.48,18542.54
395,Togo,218073737,167596.8,94840.8
396,Andorra,811658608,46184.08,16084.34
397,Central African Republic,758327281,170204.16,348766.56
398,Cambodia,800316083,88718.24,21336.25
399,Poland,850173842,2198532.48,528735.0
400,Afghanistan,440761888,46233.68,15247.16
401,El Salvador,975254046,2159306.0,1425734.0
402,Oman,777136647,431179.32,142196.34
403,Madagascar,940208518,872352.39,659906.91
404,India,378580987,298253.78,146922.12
405,Tonga,776677882,496944.0,281214.0
406,Panama,739235532,2664696.96,640845.0
407,Denmark,741302764,798221.76,603829.44
408,Denmark,878240907,2595380.48,1713662.72
409,Yemen,415723788,121478.04,73045.32
410,Botswana,939737737,291522.56,597360.96
411,Portugal,506581580,430805.34,190506.12
412,Poland,392866647,386829.42,171059.56
413,Sao Tome and Principe,145516765,17884.16,36646.56
414,Equatorial Guinea,731768262,169917.55,83702.7
415,Grenada,489169967,162701.22,80147.88
416,Mauritania,975583207,2044087.45,320606.0
417,Uzbekistan,219181811,5052215.04,1215030.0
418,Saudi Arabia,368452107,236679.31,179040.39
419,Afghanistan,942192924,32378.68,11276.39
420,Mali,179515588,176484.77,133505.13
421,Mexico,889843928,907961.84,599503.76
422,Costa Rica,102914273,196928.25,87083.5
423,Switzerland,318775451,801551.3,264339.35
424,Nigeria,957788789,3589278.98,562962.4
425,Romania,610628116,1918095.72,1266469.08
426,Azerbaijan,188279759,1830743.8,287144.0
427,Nepal,672042548,66813.93,29545.74
428,Czech Republic,863527810,693642.53,524718.57
429,Croatia,534659373,230988.8,473320.8
430,Latvia,877673566,517970.11,342002.29
431,Bulgaria,455119216,2302820.85,1520493.15
432,Botswana,149857652,160984.56,79302.24
433,Spain,915062701,731117.73,553067.37
434,Cape Verde,624220693,938249.76,530943.06
435,The Bahamas,821130454,3502482.76,549348.8
436,Albania,869903314,234326.61,162686.01
437,Macedonia,204963099,181041.63,125691.83
438,Poland,581046140,188144.4,83199.2
439,Tunisia ,223201262,1445620.56,869258.48
440,United States of America,576789796,1980674.08,476341.25
441,Serbia,457485568,877057.44,496315.14
442,Myanmar,101274907,4196209.0,1383845.5
443,Liberia,714456641,87879.68,180074.88
444,Tanzania,423642098,224753.22,99387.96
445,Philippines,125755107,1299568.44,428577.78
446,Bangladesh,338031995,3091.62,2146.42
447,Dominica,748021590,593279.26,448796.94
448,Democratic Republic of the Congo,663585221,269197.72,132608.88
449,Botswana,362896716,2121913.14,1401044.46
450,El Salvador,644442403,358871.52,203080.62
451,Japan,577021110,260452.64,197024.16
452,Monaco,649744164,146888.64,64955.52
453,Guatemala,522035396,265859.01,41698.8
454,Armenia,373631131,419096.37,290966.17
455,The Bahamas,454580199,1472721.96,885554.68
456,Montenegro,635243928,263043.0,158169.0
457,Croatia,856296145,187974.27,92597.58
458,Portugal,678723180,951635.86,719882.34
459,Antigua and Barbuda ,633823859,373928.6,246895.4
460,Afghanistan,873209512,251216.82,165871.98
461,Kuwait,718803966,505609.74,223585.32
462,United States of America,912843549,868017.78,602638.98
463,Malta,467877089,2051870.82,676675.59
464,New Zealand,716765916,3053692.32,734396.25
465,Angola,362683856,181601.28,372120.48
466,Kiribati,429117238,28939.44,10078.62
467,Dominica,209864890,90997.76,186464.16
468,Armenia,419038140,247579.26,148870.58
469,Taiwan,941060817,547602.21,242154.78
470,Kazakhstan,380669248,1170939.9,704091.7
471,Monaco,112912261,75335.68,154370.88
472,Vatican City,233151185,406605.92,307584.48
473,Palau,907059848,4210704.16,1012651.25
474,Albania,120624577,138222.92,68089.68
475,Ireland,430144202,289694.72,593615.52
476,Nepal,412230050,671069.28,379749.18
477,Haiti,513805949,2862606.88,688441.25
478,India,802108228,59023.44,44649.36
479,Niger,514685714,923838.9,555508.7
480,Kosovo,309399735,403037.04,178226.72
481,Romania,914424121,260664.32,534129.12
482,Democratic Republic of the Congo,878245198,35795.54,17633.16
483,Kuwait,619661796,276397.0,91151.5
484,Mozambique,177785241,3449238.02,540997.6
485,Kiribati,562039363,4418331.68,1457098.16
486,Gabon,602160489,800564.0,192531.25
487,South Africa,998197448,2017634.46,1332191.94
488,Malawi,270511567,331125.76,678512.16
489,Moldova ,609776675,2794887.04,672155.0
490,Canada,226979100,1118331.3,672457.9
491,Andorra,103417670,890572.98,139682.4
492,Djibouti,840703713,100079.22,44255.96
493,Finland,410761058,574059.4,379036.6
494,Poland,905826032,104186.88,213490.08
495,Mali,888447463,32202.84,19363.72
496,Brunei,341486680,16275.84,5668.32
497,Nepal,218117511,1230541.09,812494.51
498,Federated States of Micronesia,191826283,143531.85,70704.9
499,South Africa,906411826,609682.08,345010.98
500,Kyrgyzstan,825985467,1005940.2,604876.6
501,Maldives,284971034,4079117.18,1345230.41
502,Liechtenstein,138104856,256291.84,525169.44
503,Sudan,410435760,40945.64,14259.97
504,Albania,747325074,1427127.84,858138.72
505,Comoros,864446628,762175.68,431305.08
506,Pakistan,997786748,3216429.92,773533.75
507,Somalia,553644263,1639646.24,257171.2
508,Kyrgyzstan,358630502,2934526.4,705737.5
509,Kosovo,409669291,289352.58,142537.32
510,Namibia,323996961,1778794.15,1174491.85
511,France,689162337,3671054.7,1210657.65
512,Namibia,813026750,87101.79,38517.22
513,Canada,973764026,851272.59,643960.71
514,Haiti,169860494,30102.0,10483.5
515,Honduras,170114982,2543241.14,1679236.46
516,Tonga,563638818,119347.02,52776.36
517,Greenland,109855830,3837395.44,1265514.28
518,Tuvalu,788502347,411391.68,232801.08
519,Poland,149627196,804194.37,608347.53
520,Fiji,763591706,254220.96,143860.26
521,Mali,771069705,197657.6,405021.6
522,Greece,633047521,443447.72,292797.08
523,Yemen,880823981,2133282.3,703523.85
524,Mongolia,766010415,760083.87,527703.67
525,The Gambia,510530650,352430.73,155848.14
526,Uzbekistan,856621015,1075643.04,258686.25
527,Poland,816830337,831832.33,629254.77
528,Niger,824019944,2450513.28,589335.0
529,Lesotho,481363666,2656297.6,638825.0
530,Democratic Republic of the Congo,812347829,20027.7,9865.8
531,Moldova ,210771262,379417.7,125126.15
532,Grenada,290745294,622688.64,432314.24
533,Bulgaria,936693751,2680836.19,420477.2
534,United Kingdom,753352963,98129.92,201078.72
535,El Salvador,215771758,29071.71,12855.78
536,Lesotho,319311463,56089.29,37034.31
537,Democratic Republic of the Congo,329645907,984192.44,744510.36
538,Marshall Islands,932761418,25514.04,8885.67
539,Germany,184956824,269260.38,161907.54
540,Liberia,262843453,6728.82,4671.62
541,Montenegro,713345134,24441.44,8512.12
542,Kosovo,703698194,3204895.72,502673.6
543,Turkmenistan,371451461,2527178.01,1668630.39
544,India,374466264,169935.36,96164.16
545,Seychelles ,540916430,55685.24,19393.27
546,Albania,319288289,106655.45,52539.3
547,Bulgaria,128380668,5011793.12,1205308.75
548,Zambia,907304894,62653.85,47395.65
549,Latvia,965484797,3812259.52,916827.5
550,Tuvalu,932656705,984663.0,154440.0
551,Bosnia and Herzegovina,608869445,245647.36,503357.76
552,Namibia,314484345,463724.13,306185.07
553,Norway,440175235,632190.72,357748.32
554,New Zealand,996928441,1072922.9,353833.55
555,United Kingdom,266042792,386999.43,171134.74
556,Kuwait,649129617,66742.62,46337.42
557,Monaco,118112742,37273.6,76377.6
558,Cuba,765228497,3660021.12,880215.0
559,Hungary,253025710,762824.7,458690.1
560,Macedonia,364365708,269421.6,152462.1
561,Ethiopia,252422320,2271654.01,356298.8
562,United Arab Emirates,490681874,664908.25,439021.75
563,Tunisia ,822943198,548762.55,380989.55
564,Uganda,613317620,100710.72,49610.88
565,Malawi,196228969,1939952.11,1280900.29
566,Lithuania,426413571,480853.66,363750.54
567,Costa Rica,428920257,2959960.6,976149.7
568,Kyrgyzstan,749110352,3645927.7,1202371.15
569,Bangladesh,202657687,1143930.48,865347.12
570,Malta,825548589,639056.04,443677.64
571,Ethiopia,224081885,878747.52,610088.32
572,Austria,124868905,123629.91,19390.8
573,Ethiopia,524833476,795000.99,551945.59
574,Republic of the Congo,141211926,1738504.66,1147889.74
575,Iran,461553084,973357.61,152666.8
576,Bangladesh,793718278,4058465.76,976038.75
577,Poland,515881335,2529547.98,1670195.22
578,Cape Verde,426528584,793259.04,448894.74
579,United Arab Emirates,494458854,114441.28,27522.5
580,El Salvador,308783471,462450.24,261694.44
581,Vatican City,428926265,243765.72,120080.88
582,The Gambia,134623563,2537877.71,398054.8
583,Macedonia,575924193,52744.24,18369.02
584,Slovakia,723189485,652263.36,369107.16
585,Greece,517093265,295429.12,605365.92
586,Czech Republic,418621861,4391815.36,1056207.5
587,Kazakhstan,959074103,17731.35,12310.35
588,Maldives,490061318,4467078.06,1473173.97
589,Ireland,133507335,647196.48,366239.88
590,Liberia,631648480,275143.68,563798.88
591,United States of America,997033584,116444.16,238606.56
592,Guinea,762523972,376458.81,166473.58
593,Samoa ,431293475,743625.54,516277.14
594,Belize,126828420,7275.52,14908.32
595,Estonia,942927634,75120.64,153930.24
596,Solomon Islands,893702447,188840.96,386955.36
597,Barbados,763576686,4103239.1,1353185.45
598,South Korea,957286679,45015.04,92240.64
599,Mozambique,149881255,116116.83,51347.94
600,Singapore,236721742,28810.51,4518.8
601,Mexico,483481967,186402.72,105482.82
602,Botswana,676148259,220416.0,451656.0
603,Liechtenstein,671019446,3071054.49,481681.2
604,Antigua and Barbuda ,844706857,202979.15,99989.1
605,Czech Republic,744134318,32773.12,11413.76
606,Mali,436538159,51876.01,34252.39
607,Slovakia,959467208,369658.41,163466.38
608,Equatorial Guinea,270782792,863835.0,599735.0
609,Croatia,898658740,310231.32,186543.56
610,Sudan,491581380,1019910.99,771530.31
611,Serbia,368349540,11549.48,4022.29
612,North Korea,568074548,461573.28,261198.18
613,Zimbabwe,300180232,61283.52,21342.96
614,Belarus,194402921,250844.16,514006.56
615,Madagascar,950791442,519720.57,229825.26
616,Zimbabwe,189707124,265502.72,544043.52
617,Mexico,101823794,408418.88,98222.5
618,Poland,698127782,198959.84,47848.75
619,Namibia,259917914,423084.48,239417.88
620,Democratic Republic of the Congo,288805520,19555.92,6810.66
621,Dominican Republic,556714427,171426.75,75806.5
622,Guinea,455880963,378541.59,262810.19
623,Tuvalu,348853957,17251.56,6008.13
